input_text,output_text
"GLAZIERS — away from shop — employees whose regular hourly wage does not equal or exceed $36.00 per hour This classification applies to the installation of glass panes or insulated glass units within framework in connection with residential or commercial buildings. This classification includes the incidental installation of framework and glass cutting at the job site.The installation of prefabricated doors, door frames or pre-glazed windows within residential or commercial buildings shall be classified as 5107, Door, Door Frame or Pre-Glazed Window Installation, provided such operations are not performed in connection with structures framed by the employer at the same job or location. If the employer is engaged in wood or light gauge steel framing, the installation of doors, door frames or pre-glazed windows at such job or location shall be classified as 5403/5432, Carpentry, or 5632/5633, Steel Framing.The installation of tub or shower enclosures, mirrors, mirrored wardrobe doors or window screens shall be separately classified as 5146(1), Cabinet, Fixture or Trim Installation.The application of window film or glass tinting shall be classified as 9507, Sign Painting or Lettering and Quick Sign Shops.The shop cutting of glass shall be classified as 4130, Glass Merchants.The repair or replacement of automobile or truck glass shall be separately classified as 8389, Automobile or Truck Repair Facilities.",Classification Code: 5467 | Pure Premium Rate: 6.77 | Effective Date: 9/1/2023
"CONCRETE PRODUCTS MFG. — shop or yard work only This classification applies to the manufacture of concrete functional or building products, including but not limited to concrete blocks, bricks, poles, piles, beams, countertops, sewer pipes, irrigation pipes, roofing tile or similar concrete functional or building products. This classification does not apply to operations performed at construction sites.The manufacture of non-structural ornamental plaster or concrete products shall be classified as 4038(1), Plaster or Concrete Statuary or Ornament Mfg.Drivers and their helpers shall be separately classified as 8232(2), Building Material Dealers.Concrete construction work at construction sites shall be separately classified.",Classification Code: 4034 | Pure Premium Rate: 4.56 | Effective Date: 9/1/2023
"HOSPITALS — veterinary — all employees — including receptionists This classification applies to employers engaged in the medical treatment of domestic animals, agricultural livestock and wild animals and includes all employees who handle or feed animals, dispense prescriptions or are otherwise exposed to any of the operative hazards of the business. This classification also applies to veterinary care provided at customers' locations, and the operation of private animal shelters and shelters operated under contract for municipalities.Boarding, grooming and care of horses shall be classified as 7207(1), Stables.Veterinarians employed by zoos shall be classified as 9016(1), Amusement or Recreational Facilities — N.O.C. — all employees other than those engaged in the operation or maintenance of amusement devices, restaurants or retail stores.The operation of public aquariums, including veterinarians employed by public aquariums, shall be classified as 8838, Museums.",Classification Code: 8831 | Pure Premium Rate: 1.59 | Effective Date: 9/1/2023
"BOOKBINDING OPERATION — editing, designing, proofreading or photographic composing — including Clerical Office Employees and Clerical Telecommuter Employees This classification applies to pre-bindery activities of employers engaged in bookbinding or binder manufacturing operations. Pre-bindery activities include but are not limited to editing, designing, proofreading, and photographic composition, including negative stripping and plate making.Also refer to companion Classification 4299(2), Bookbinding Operation — all other employees.",Classification Code: 8813 | Pure Premium Rate: 0.47 | Effective Date: 9/1/2023
"ELECTRONIC ELEMENT MFG. — N.O.C. This classification applies to the manufacture of electronic elements with a power rating of less than 746 watts (one horsepower) used to receive, store, govern or direct the flow of current within an electrical circuit. Electronic elements assigned to this classification include but are not limited to transistors, resistors, capacitors, diodes, light emitting diodes (LED), coils, transformers, filters, magnetic recording heads, potentiometers and transducers.The manufacture of electronic elements used to receive, store, govern or direct the flow of current within an electrical circuit with a power rating of 746 watts or more shall be classified as 3643(1), Electric Power or Transmission Equipment Mfg., or 3643(2), Electric Control Panel or Switchgear Mfg. The manufacture of electronic elements that are rated both at less than 746 watts and at 746 watts and above shall be classified based on the primary (over 50%) operation.The manufacture of electronic elements for inclusion in an electrical or electronic product manufactured by the employer shall be assigned to the applicable electrical or electronic product manufacturing classification.The manufacture of electronic integrated circuit chips or semiconductor wafers shall be classified as 4112, Integrated Circuit and Semiconductor Wafer Mfg.",Classification Code: 3178 | Pure Premium Rate: 1.86 | Effective Date: 9/1/2023
"STORES — department stores — retail — including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons This classification applies to each store location at which all the following conditions exist:The payroll subject to this classification is at least $1,300,000 per annum.The merchandise handled must include:(a) Wearing Apparel(b) Linens(c) House Furnishings (other than furniture)(d) One or more of the following:CosmeticsDrugsFurnitureGroceriesHardwareJewelryLuggageMusical InstrumentsSporting GoodsToysThe total annual sales of items (a), (b) and (c), above, must exceed 50% of the total annual sales.This classification also applies to the installation of house furnishings and household appliances that have been sold by the store and to satellite warehouse or clerical office locations.",Classification Code: 8039 | Pure Premium Rate: 2.73 | Effective Date: 9/1/2023
"MINING — surface — no shafts, tunnels, or drifts — all employees This classification applies to surface mining (open pit method) of ores or minerals, including but not limited to gold, borax, graphite, gypsum and perlite. This classification includes all activities involved in the construction or operation of the mine, including but not limited to the construction of buildings, roads, water systems, power lines or tramways; the installation, operation or maintenance of machinery or equipment; the operation of commissaries and blasting when performed by the mine operator. This classification includes mining engineers engaged in geophysical exploration, surveying or mapping of sites.Ore milling operations shall be separately classified as 1452, Mining — ore milling.Underground mining operations shall be classified as 6251, Tunneling or Underground Mining.Rock quarrying operations shall be classified as 1624(1), Quarries.Blasting operations performed on a fee basis shall be classified as 1330, Blasting.",Classification Code: 1122 | Pure Premium Rate: 2.01 | Effective Date: 9/1/2023
"TELEVISION, VIDEO, AUDIO OR RADIO EQUIPMENT INSTALLATION, SERVICE OR REPAIR — shop or outside This classification applies to the installation, service or repair of freestanding or built-in audio or video equipment, including but not limited to televisions, stereo systems, home theater systems or similar electronic entertainment devices. This classification also applies to the installation, service or repair of cable television equipment, including but not limited to cable converter boxes, modems, high definition digital video recorders, coaxial cables, connectors or similar items. This classification includes the installation of low voltage cabling or the installation of home security equipment that is performed in connection with audio or video equipment installation, service or repair operations by the same employer.The installation, service or repair of electronic equipment, including but not limited to audio systems, alarms, ignition interlock devices, vehicle locating systems, navigation systems or entertainment systems in automobiles, trucks or vans shall be classified as 8370, Automobile or Truck Radio, Alarm or Electronic Equipment Installation, Service or Repair.The installation of low voltage cabling within buildings that is not performed in connection with the installation, service or repair of audio or video equipment by the same employer shall be classified as 5195, Communications Cabling.The installation, service or repair of telecommunication antennas or antenna equipment that are located on rooftops, towers, structures or other exterior locations shall be classified as 9531(1), Telecommunication Antenna Equipment Installation, Service or Repair.The contract installation, service or repair of exterior satellite antennas or non-satellite antennas or antenna equipment for television or internet connectivity, which may be installed indoors or outdoors in connection therewith, shall be classified as 9531(2), Satellite Television or Internet Antenna Equipment Installation, Service or Repair.The installation, service or repair of Closed Circuit Television security systems or video surveillance systems not in connection with the installation of electronic entertainment devices shall be classified as 7605, Security Alarm, Fire Alarm or Life Safety Systems Installation, Service or Repair.The installation, service or repair of satellite antennas or antenna equipment for television or internet connectivity by Federal Communications Commission licensed companies that provide cable or satellite television services on a fee basis shall be classified as 7600, Communication Service Providers.The installation, service or repair of computers or electronic computer peripheral equipment shall be classified as 5193, Computer or Telephone System or Equipment Installation, Service or Repair.Store operations shall be separately classified.",Classification Code: 9516 | Pure Premium Rate: 2.26 | Effective Date: 9/1/2023
"STORES — tile or cabinets — wholesale or retail This classification applies to stores engaged in the sale of tile, including but not limited to ceramic, stone, porcelain and glass tile. This classification also applies to stores engaged in the sale of cabinets that are designed to be affixed to building walls or floors, including but not limited to kitchen or bath cabinets.When lumber or building material sales, including but not limited to stone countertop or stone slab materials exceed 10% of gross receipts, employees, other than store salespersons or cashiers, engaged in handling, stocking or delivering lumber or building materials shall be separately classified as 8232(1), Lumberyards, or 8232(2), Building Material Dealers. When lumber or building material sales do not exceed 10% of gross receipts, such employees are included in Classification 8059.Stores engaged in the sale of hardware, electrical or plumbing supplies shall be classified as 8010, Stores — hardware, electrical or plumbing supplies — wholesale or retail.Stores engaged in the sale of furniture, including but not limited to couches, chairs, tables, dressers, bed frames, desks and bookcases shall be classified as 8015, Stores — furniture — wholesale or retail.Stores engaged in the sale of vinyl, linoleum, asphalt, laminate or rubber tile floor coverings shall be classified as 8042, Stores — floor covering.The installation of tile shall be separately classified as 5348, Tile, Stone, Mosaic or Terrazzo Work.The installation of cabinets, fixtures, or wood or laminate countertops shall be separately classified as 5146(1), Cabinet, Fixture or Trim Installation.",Classification Code: 8059 | Pure Premium Rate: 2.89 | Effective Date: 9/1/2023
"WEIGHERS, SAMPLERS OR INSPECTORS OF MERCHANDISE ON DOCKS OR AT RAILWAY STATIONS OR WAREHOUSES — including mending or repacking of damaged containers — including Outside Salespersons This classification applies to the weighing, grading, inspecting and sampling of a variety of merchandise,
including but not limited to fruits, vegetables, grains, equipment parts and machinery at
docks, railway stations or warehouses on a fee basis.This classification also applies to operation of public scales.The operation of warehouses shall be separately classified.The inspection and surveying of marine vessels to analyze cargo that may have been damaged
in marine transit shall be classified as 7248, Marine Appraisers or Surveyors.",Classification Code: 8720 | Pure Premium Rate: 1.69 | Effective Date: 9/1/2023
"SEWER CONSTRUCTION — all operations — including construction of laterals and tunneling at street crossings — employees whose regular hourly wage equals or exceeds $38.00 per hourAssignment of this classification is subject to verification at the time of final audit that the employee’s regular hourly wage equals or exceeds $38.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $38.00 per hour shall be classified as 6307, Sewer Construction. This classification applies to the construction of sewer main lines and laterals from the main line to the property line, and includes incidental trenching, shoring and tunneling at street crossings. This classification also applies to the installation of sewer lines within property lines when the sewer pipe exceeds 6"" in diameter. This classification also applies to the construction of closed concrete culverts, monolithic or concrete pipe storm drains and catch basins and the installation of septic tanks and cesspools.The installation of sewer lines within property lines using pipe that does not exceed 6"" in diameter shall be classified as 5183(1)/5187(1), Plumbing.",Classification Code: 6308 | Pure Premium Rate: 3.01 | Effective Date: 9/1/2023
"PAPER GOODS MFG. — N.O.C. This classification applies to the conversion or processing of paper stock to manufacture finished goods, including but not limited to paper towels, notebook paper, notepads, napkins, cups, plates, diapers, medical gowns, paper tubes, air filter elements, coffee filters, abrasive paper and similar products.The manufacture of paper or cardboard stock shall be classified as 4239(1), Paper or Cardboard Stock Mfg.The manufacture of paper envelopes shall be classified as 4251, Envelope Mfg.The manufacture of paper bags shall be classified as 4279(2), Bag Mfg. — paper.The manufacture of asphalt saturated roofing paper shall be classified as 4283, Building or Roofing Paper or Felt Asphalt Saturation.",Classification Code: 4279 | Pure Premium Rate: 4.31 | Effective Date: 9/1/2023
"PRINTING OPERATION — screen printing — editing, designing, proofreading or photographic composing — including Clerical Office Employees and Clerical Telecommuter Employees This classification applies to pre-press activities of employers engaged in fee-based screen printing. Pre-press activities include but are not limited to the design or development of artwork and the preparation of screens. This classification also includes the post-printing cleaning of screens.Also refer to companion Classification 4295(1), Printing Operation — screen printing — all other employees.",Classification Code: 8846 | Pure Premium Rate: 1.15 | Effective Date: 9/1/2023
"OIL OR GAS WELLS — specialty tool companies — N.O.C. — all employees — including shop, yard or storage operations and outside supervisors This classification applies to oil or gas well specialty tool companies who lease, without operating crews, special equipment, including but not limited to drilling, fishing or casing-cutting tools. This classification includes outside supervisors who provide advice to the customer as to the function and proper operation of the tool.Specialty oil or gas well tool companies that furnish operating crews with such equipment shall be separately classified.",Classification Code: 6213 | Pure Premium Rate: 1.63 | Effective Date: 9/1/2023
"STONE CRUSHING — including construction, repair or maintenance of all buildings, structures or equipment and the installation of machinery This classification applies to the crushing or grinding of excavated or quarried materials, used asphalt or used concrete to produce products that will be retained on an 8-mesh screen.If the crushed or ground products pass through an 8-mesh or finer screen, the crushing or grinding operations shall be separately classified as 1741(1), Silica Grinding.Stone crushing or silica grinding that is performed in connection with sand, gravel or clay digging shall be separately classified as 4000(1), Sand or Gravel Digging, or 4000(2), Clay Digging, if 25% or less of the excavated material is crushed or ground. If more than 25% of the excavated material is crushed or ground, all crushing and grinding activities shall be separately classified as 1710 or 1741(1), Silica Grinding.Mining or quarrying operations shall be separately classified.Employees engaged exclusively in delivery of the finished product shall be separately classified as 8232(2), Building Material Dealers.",Classification Code: 1710 | Pure Premium Rate: 3.24 | Effective Date: 9/1/2023
"PAINTING OR WALLPAPER INSTALLATION — including shop, yard or storage operations — employees whose regular hourly wage equals or exceeds $31.00 per hour — N.O.C.Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $31.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $31.00 per hour shall be classified as 5474(1), Painting or Wallpaper Installation. This classification applies to interior or exterior painting at customers' locations by application of decorative or protective coatings, including but not limited to paint, stain or varnish. This classification also applies to wallpaper installation, lead paint abatement operations, or graffiti abatement by painting.This classification includes cleaning, stripping, patching and surface preparation in connection with painting or wallpaper installation.This classification also includes shop operations, including but not limited to mixing or blending paints, maintaining painting equipment and shop painting performed in connection with painting or wallpaper hanging at customers' locations.Shop painting operations performed on a fee basis that have no connection to any painting operations performed at customers' locations shall be classified as 9501(1), Painting — shop only.Wallboard taping, finishing or texturing shall be classified as 5446/5447, Wallboard Installation.Applying plaster, including veneer plaster, shall be classified as 5484/5485, Plastering or Stucco Work.Painting steel structures or bridges shall be classified as 5040(3), Painting — steel structures or bridges. Painting water, oil or gasoline storage tanks shall be classified as 5474(3)/5482(3), Painting — water, oil or gasoline storage tanks.Applying water repellent coatings, membranes or caulking to interior or exterior building surfaces (not roofs) shall be classified as 5474(2)/5482(2), Waterproofing.Applying or installing paved surface improvements, including but not limited to thermoplastic or painted lines or traffic markings; truncated domes; and wheel stop bumpers to paved surfaces such as streets, roads or parking lots shall be classified as 5506, Street or Road Construction — paving or repaving, surfacing or resurfacing or scraping.",Classification Code: 5482 | Pure Premium Rate: 4.36 | Effective Date: 9/1/2023
"JANITORIAL SERVICES — by contractors This classification applies to employers that provide janitorial services for other concerns on a fee basis at commercial or industrial buildings or facilities and includes restocking restroom supplies, cleaning carpets, changing light bulbs or touch-up painting when performed in connection with the janitorial services.This classification also applies to specialty cleaning operations performed for other concerns on a fee basis at commercial or industrial facilities or at residential locations, including but not limited to window cleaning; mold abatement; construction job site clean-up; fire, smoke or water damage clean-up; sanitizing or disinfecting services; or metal, glass or stone buffing or polishing. This classification also applies to off-street sweeping or snow removal using hand or portable power tools or equipment in areas that include but are not limited to walkways, parking lots and private driveways.This classification does not apply at a location where the employer provides property management services; such operations shall be assigned to the applicable Property Management/Operation Industry Group classification.The interior general cleaning of occupied or vacant residences for other concerns on a fee basis shall be separately classified as 9096, Residential Cleaning Services.Off-street snow removal using vehicles or construction equipment, including but not limited to plows, excavators or loaders shall be classified as 6218(1)/6220(1), Excavation – N.O.C.Sweeping or snow removal operations on public streets or highways shall be classified as 9403(2), Street Sweeping Service Companies.Carpet cleaning that is performed as a specialty operation and not in connection with general cleaning services shall be classified as 2584, Carpet, Rug or Upholstery Cleaning.",Classification Code: 9008 | Pure Premium Rate: 6.55 | Effective Date: 9/1/2023
"BEER DEALERS — all operations This classification applies to dealers engaged primarily (over 50% of gross receipts) in the sale of beer or similarly brewed beverages to retailers or commercial users.The production and the sale or distribution of beer or similarly brewed beverages manufactured by the employer shall be classified as 2121, Breweries.Stores engaged in the sale of wine or liquor on a wholesale basis shall be classified as 8041, Stores — wine or spirits — wholesale.Each store location that primarily (over 50% of gross receipts) engages in the sale of alcoholic beverages to walk-in trade for consumption away from the store premises shall be classified as 8060, Stores — wine, beer or spirits — retail.",Classification Code: 7392 | Pure Premium Rate: 6.5 | Effective Date: 9/1/2023
"LIVESTOCK FEED YARDS — including the milling or blending of feed for use in operations This classification applies to the feeding or fattening of livestock, including but not limited to cattle, sheep and hogs, on a fee basis prior to slaughter by separate concerns. This classification includes the transport of animals to and from the feed yard location.This classification includes growing feed, hay or grain crops when more than 50% of such crops are used by the employer. Cultivation and harvesting of crops that are primarily sold to others shall be assigned to the appropriate Farms Industry Group classification.Breeding and raising of livestock shall be separately classified.Livestock butchering operations, including feed yard operations by the same employer, shall be classified as 2081(1), Butchering.The fee-based care and feeding of livestock that are en route to slaughterhouses or to market shall be classified as 2081(2), Stockyards.",Classification Code: 0038 | Pure Premium Rate: 8.37 | Effective Date: 9/1/2023
"INK, ADHESIVE, POLISH OR WAX PRODUCTS MFG. This classification applies to the manufacture of inks, adhesives, waxes or polishes. This classification also applies to the mixing, blending or repackaging of inks, adhesives, waxes or polishes, the manufacture of electrically conductive inks or adhesives, or the manufacture of wax products, including but not limited to candles and crayons.The manufacturing, refilling or refurbishing of laser printer toner or ink jet cartridges shall be classified as 3574(1), Machine Mfg.The manufacture of denture adhesives shall be classified as 4611, Drug, Medicine or Pharmaceutical Preparations Mfg.The manufacture of paint, varnish or lacquer shall be classified as 4558(1), Paint, Varnish or Lacquer Mfg.The manufacture of synthetic resins shall be classified as 4558(2), Resin Mfg.",Classification Code: 4557 | Pure Premium Rate: 3.39 | Effective Date: 9/1/2023
"DECORATING — interior or exterior — hanging flags or bunting for conventions or celebrations This classification applies to decorating the interior or exterior of buildings, streets, parking lots or malls with flags, banners, pennants or bunting in connection with conventions, celebrations, festivals or parades. This classification also applies to the installation of seasonal decorations, including but not limited to garland, trees, stars, balloons, lights, inflatable figurines and props. This classification includes the installation of similar items for advertising or commercial purposes.The erection, removal or repair of tents away from the shop shall be classified as 9529(3), Tent — erection, removal or repair.Painting or wallpaper installation shall be classified as 5474(1)/5482(1), Painting or Wallpaper Installation.The installation or placement of house furnishings for other concerns on a fee basis shall be classified as 9521(1), House Furnishings.The installation of floor coverings, including but not limited to linoleum, vinyl, asphalt or rubber tile, carpet or rugs within buildings shall be classified as 9521(2), Floor Covering.The installation of window coverings shall be classified as 9521(3), Window Covering.",Classification Code: 9529 | Pure Premium Rate: 4.67 | Effective Date: 9/1/2023
"RESTAURANTS OR TAVERNS — all employees — including musicians and entertainers This classification applies to the preparation and serving of hot and cold food for consumption on or away from the premises or the preparation, pouring and serving of alcoholic beverages for consumption on the premises.This classification also applies to mobile food vending operations involving the use of food trucks, trailers, carts or temporary booths wherein hot food is prepared for sale to customers.This classification also applies to taprooms at breweries, including product tasting in connection therewith.This classification also applies to restaurants that engage in on-site beer brewing operations where the beer brewed on-site is primarily sold to the general public for consumption on the premises. If 50% or more of the beer brewed on-site is sold for off-site consumption, the brewing operations shall be separately classified as 2121, Breweries.Hot foods items are foods that are cooked to order and served hot to customers or foods that are cooked in advance and served from a warming tray or similar device.This classification also applies to doughnut shops that prepare and serve doughnuts and beverages for consumption on the premises.This classification includes the manufacture of baked goods, doughnuts (baked or fried) or filled pasta, including but not limited to ravioli and tortellini, by restaurants to be used or sold at restaurant locations operated by the same employer. If the baked goods, doughnuts or filled pasta are not used or sold at the employer‚ restaurants, the manufacturing operations shall be classified as 2003, Bakeries or Cracker Mfg.Mobile food vending operations that do not include the preparation of hot food shall be classified as 8017(1), Stores – retail, 8078(1), Sandwich Shops, 8078(2), Beverage Preparation Shops, or 8078(3), Ice Cream or Frozen Yogurt Shops, depending on the products sold.Employers that operate under concessionary agreements to sell prepared or prepackaged hot or cold food or beverages, including but not limited to hot dogs, hamburgers, pretzels, french fries, popcorn, nachos, ice cream, candy, funnel cakes, soft drinks and alcoholic beverages at ball parks, racetracks, theaters, concert venues or amusement or recreational facilities shall be classified as 9079(2), Concessionaires.",Classification Code: 9079 | Pure Premium Rate: 2.58 | Effective Date: 9/1/2023
"DETECTIVE OR PRIVATE INVESTIGATIVE AGENCIES This classification applies to private investigators or detectives who are retained by clients to conduct investigations of matters, including but not limited to individuals'; backgrounds, personal or business disputes, theft, embezzlement and fraud. These operations involve surveillance of persons without their knowledge.This classification also applies to asset repossession or airport baggage inspection on a contract basis.Insurance claims investigation shall be separately classified as 8720(1), Inspection for Insurance, Safety or Valuation Purposes.Employees who solely conduct investigations by researching documents or conducting interviews at locations away from the employer's premises shall be classified as 8742, Salespersons — Outside, subject to the Standard Exceptions rule. See Part 3, Section III, Rule 4, Standard Exceptions.",Classification Code: 7721 | Pure Premium Rate: 3.2 | Effective Date: 9/1/2023
"FRUIT OR VEGETABLE PROCESSING — fresh – ready-to-eat This classification applies to the processing of ""ready-to-eat"" fruits and vegetables that are packaged and sold for immediate consumption without the need for further peeling, trimming, washing or cooking. Produce is considered ""ready-to-eat"" when:The produce is pre-washed to remove soil and other contaminants;The produce is in a form that can be consumed without further peeling or trimming;The produce is in a package that serves to protect the food from contamination during transportation and storage; andThe package label declares the produce ready-to-eat with statements such as as ""ready-to-eat"" or ""pre-washed"".This classification does not apply to the preparation or packing of produce that is sold from the open self-service bins or trays at grocery stores.The packing and handling of fresh citrus fruit shall be classified as 2108, Fruit — citrus fruit packing and handling.The packing and handling of fresh deciduous fruit shall be classified as 2107, Fruit — fresh fruit packing and handling.The packing and handling of fresh vegetables and tomatoes shall be classified as 8209, Vegetables.Growing or harvesting, including field packing of crops, shall be assigned to the applicable Farms Industry Group classification.",Classification Code: 2123 | Pure Premium Rate: 5.34 | Effective Date: 9/1/2023
